Oscar Turbo Voice Cloning Seeds
========================================
TURBO | en | regular | take=1 seed=1887 | turbo-en-regular-take1-seed1887.wav
TURBO | en | regular | take=2 seed=3444 | turbo-en-regular-take2-seed3444.wav
TURBO | en | regular | take=3 seed=6050 | turbo-en-regular-take3-seed6050.wav
TURBO | en | deep | take=1 seed=9721 | turbo-en-deep-take1-seed9721.wav
TURBO | en | deep | take=2 seed=1911 | turbo-en-deep-take2-seed1911.wav
TURBO | en | deep | take=3 seed=7443 | turbo-en-deep-take3-seed7443.wav
TURBO | en | troll | take=1 seed=7508 | turbo-en-troll-take1-seed7508.wav
TURBO | en | troll | take=2 seed=7021 | turbo-en-troll-take2-seed7021.wav
TURBO | en | troll | take=3 seed=3509 | turbo-en-troll-take3-seed3509.wav
TURBO | en | friendly | take=1 seed=7522 | turbo-en-friendly-take1-seed7522.wav
TURBO | en | friendly | take=2 seed=4096 | turbo-en-friendly-take2-seed4096.wav
TURBO | en | friendly | take=3 seed=635 | turbo-en-friendly-take3-seed635.wav
TURBO | en | casanova | take=1 seed=6519 | turbo-en-casanova-take1-seed6519.wav
TURBO | en | casanova | take=2 seed=5323 | turbo-en-casanova-take2-seed5323.wav
TURBO | en | casanova | take=3 seed=7093 | turbo-en-casanova-take3-seed7093.wav
