Oscar Voice Cloning Test - Sat Dec 27 01:46:37 CST 2025
========================================
XTTS | en | regular | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-regular-seed42.wav
XTTS | en | regular | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-regular-seed123.wav
XTTS | en | regular | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-regular-seed777.wav
XTTS | en | deep | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-deep-seed42.wav
XTTS | en | deep | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-deep-seed123.wav
XTTS | en | deep | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-deep-seed777.wav
XTTS | en | troll | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-troll-seed42.wav
XTTS | en | troll | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-troll-seed123.wav
XTTS | en | troll | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-troll-seed777.wav
XTTS | en | friendly | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-friendly-seed42.wav
XTTS | en | friendly | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-friendly-seed123.wav
XTTS | en | friendly | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-friendly-seed777.wav
XTTS | en | casanova | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-casanova-seed42.wav
XTTS | en | casanova | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-casanova-seed123.wav
XTTS | en | casanova | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-en-casanova-seed777.wav
XTTS | es | deep | seed=42 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-es-deep-seed42.wav
XTTS | es | deep | seed=123 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-es-deep-seed123.wav
XTTS | es | deep | seed=777 | /home/oz/projects/2025/oz/12/runpod/docker/tts-comparison/oscar-cloning-results/xtts-v2/xtts-es-deep-seed777.wav
