Oscar VibeVoice Large-Q8 Voice Cloning Seeds
========================================
VIBEVOICE | en | regular | take=1 seed=3633
VIBEVOICE | en | regular | take=2 seed=3798
VIBEVOICE | en | regular | take=3 seed=8771
VIBEVOICE | en | deep | take=1 seed=5718
VIBEVOICE | en | deep | take=2 seed=1256
VIBEVOICE | en | deep | take=3 seed=3552
VIBEVOICE | en | troll | take=1 seed=6674
VIBEVOICE | en | troll | take=2 seed=1075
VIBEVOICE | en | troll | take=3 seed=1039
VIBEVOICE | en | friendly | take=1 seed=2912
VIBEVOICE | en | friendly | take=2 seed=8558
VIBEVOICE | en | friendly | take=3 seed=1817
